"State","Year","Population","Month","Births","BirthsPerThousandWomen"
"Illinois",2022,2850218.25000081,"Jun",11028,3.86917738667797
"Indiana",2022,1529591.83333422,"Jun",6736,4.40378920258538
"Iowa",2022,693741.750000261,"Jun",3044,4.38779992698847
"Kansas",2022,646558.333332786,"Jun",2842,4.39558173405711
"Kentucky",2022,985759.666666295,"Jun",4251,4.31241015812333
"Louisiana",2022,1042047.29166775,"Jun",4418,4.2397308023604
"Maine",2022,282406.499999994,"Jun",1063,3.76407766818406
"Maryland",2022,1389726.99999911,"Jun",5791,4.16700546222656
"Massachusetts",2022,1611053.75000056,"Jun",5800,3.60012817697609
"Michigan",2022,2173635.5833341,"Jun",8935,4.11062464587314
"Minnesota",2022,1254871.8333336,"Jun",5632,4.48810774964838
"Mississippi",2022,666817.20833369,"Jun",2862,4.29203080579137
"Missouri",2022,1365873.91666582,"Jun",5941,4.3495962017507
"Montana",2022,238224.958334594,"Jun",1013,4.25228324975595
"Nebraska",2022,433877.041665721,"Jun",2095,4.82855693852104
"Nevada",2022,716182.374999517,"Jun",2651,3.70157112565328
"New Hampshire",2022,290378.624999848,"Jun",1017,3.50232390555789
"New Jersey",2022,2038231.04166629,"Jun",8638,4.23798863986404
"New Mexico",2022,462282.625001042,"Jun",1729,3.74013624240388
"New York",2022,4453196.91666753,"Jun",17650,3.96344476345503
"North Carolina",2022,2423332.95833352,"Jun",9809,4.04773102526755
"North Dakota",2022,171124.166667509,"Jun",778,4.54640636182988
"Ohio",2022,2563534.37499898,"Jun",10909,4.25545298178587
"Oklahoma",2022,907625.625001013,"Jun",3926,4.32557201103221
"Oregon",2022,960580.291666489,"Jun",3367,3.50517289310472
"Pennsylvania",2022,2807403.49999941,"Jun",10991,3.91500544898598
"Rhode Island",2022,245842.500000485,"Jun",893,3.63240692719216
"South Carolina",2022,1160350.95833464,"Jun",4676,4.02981526098889
"South Dakota",2022,190099.500002481,"Jun",997,5.24462189530739
"Tennessee",2022,1592603.24999922,"Jun",6772,4.25215759166844
"Texas",2022,7176859.66666225,"Jun",32148,4.47939648999032
"Utah",2022,840824.791667362,"Jun",3946,4.69301100432
"Vermont",2022,137639.083333462,"Jun",491,3.56730071218537
"Virginia",2022,1955486.9999993,"Jun",8182,4.18412395480151
"Washington",2022,1773120.3333344,"Jun",7088,3.99747262875884
"West Virginia",2022,366236.791668063,"Jun",1421,3.88000340852679
"Wisconsin",2022,1266365.1666664,"Jun",5144,4.06201949911585
"Wyoming",2022,124040.37499952,"Jun",487,3.92614098435194
"Alabama",2022,1141370.83333094,"Jul",5006,4.3859540245922
"Alaska",2022,159702.666667817,"Jul",812,5.08444860027898
"Arizona",2022,1632072.9999989,"Jul",6740,4.12971723691559
"Arkansas",2022,676503.499999111,"Jul",3032,4.48186890386226
"California",2022,9078243.49999482,"Jul",36632,4.03514182011321
"Colorado",2022,1373583.16666524,"Jul",5536,4.03033477284102
"Connecticut",2022,805519.499998412,"Jul",3153,3.91424416169468
"Delaware",2022,215738.500001423,"Jul",1015,4.70476989500392
"DC",2022,197367.999999977,"Jul",686,3.47574074824734
"Florida",2022,4675756.00000068,"Jul",19224,4.11142069859873
