"State","Year","Month","Population","BirthsPerThousandWomen","TreatedOriginal","Tau"
"New Jersey",2022,4,2039088.1249997,4.01748207915301,"Control",0.0168628801848412
"New Mexico",2022,4,462118.875000898,3.67654318382191,"Control",0.00940630263086462
"New York",2022,4,4465829.41666747,3.73502846699574,"Control",-0.00943391253765169
"North Carolina",2022,4,2418596.54166686,3.9485709317265,"Control",0.00657108849924937
"North Dakota",2022,4,170955.166667395,4.56259974591785,"Control",-0.0839658346635144
"Ohio",2022,4,2564767.45833245,3.98866570408348,"Control",-0.0183603072473475
"Oklahoma",2022,4,905994.541667554,4.12254139315833,"Control",-0.047445442827093
"Oregon",2022,4,960529.874999839,3.30338501964921,"Control",-0.008296529807168
"Pennsylvania",2022,4,2807280.49999948,3.7755400644866,"Control",0.0371908380941979
"Rhode Island",2022,4,245977.500000409,3.24013375206543,"Control",-0.0308286546654553
"South Carolina",2022,4,1157762.5416678,3.95849739049081,"Control",0.0251396198089244
"South Dakota",2022,4,189564.500002148,4.86377987434119,"Control",-0.048745644261647
"Tennessee",2022,4,1590309.08333265,4.06210344121435,"Control",0.0139994067629452
"Texas",2022,4,7159034.33332947,4.16452814888713,"Control",-2.21183161537297e-05
"Utah",2022,4,838210.708333921,4.55971268560484,"Control",0.0555904646768006
"Vermont",2022,4,137540.583333439,3.17724404978408,"Control",0.0274431997667111
"Virginia",2022,4,1955311.66666605,3.87252842044911,"Control",0.00905599676899271
"Washington",2022,4,1771575.66666758,3.87282357118049,"Control",0.0433362139199494
"West Virginia",2022,4,366561.375001204,3.74834909978032,"Control",0.0609637469890254
"Wisconsin",2022,4,1266466.16666643,3.82955354643709,"Control",-0.0129110262015293
"Wyoming",2022,4,123894.791666246,3.9468971489721,"Control",-0.0448866503456089
"Alabama",2022,5,1140650.08333119,4.02226771123451,"Control",-0.0159470781712905
"Alaska",2022,5,159722.666667655,4.99616001065427,"Control",0.0281973323820299
"Arizona",2022,5,1627905.16666571,3.68878981587085,"Control",-0.08668604776466
"Arkansas",2022,5,675779.249999216,4.15076372943273,"Control",-0.0422193864379983
"California",2022,5,9090289.41666217,3.74267511633226,"Control",0.0557264344019868
"Colorado",2022,5,1371926.91666542,3.9280518040264,"Control",0.026441367348637
"Connecticut",2022,5,804602.749998619,3.67013411277188,"Control",-0.0100566397004176
"Delaware",2022,5,215398.250001244,4.03903002923642,"Control",0.00564986434023051
"DC",2022,5,196975.666666617,3.178057526565,"Control",-0.203884189389016
"Florida",2022,5,4665559.3333339,3.71038042026784,"Control",-0.0168195834162383
"Georgia",2022,5,2583723.16666488,3.81658535528354,"Control",-0.0389141529558845
"Hawaii",2022,5,295729.916664962,4.08818970239558,"Control",-0.0931914849311735
"Idaho",2022,5,435319.833334165,4.3209609486276,"Control",-0.0413251688389238
"Illinois",2022,5,2852577.83333409,3.76606726535612,"Control",-0.0112220534277183
