"Notes"	"State of Residence"	"State of Residence Code"	"Month"	"Month Code"	"Year"	"Year Code"	Births
"Total"	"Tennessee"	"47"	"October"	"10"			7075
	"Tennessee"	"47"	"November"	"11"	"2023"	"2023"	6815
"Total"	"Tennessee"	"47"	"November"	"11"			6815
	"Tennessee"	"47"	"December"	"12"	"2023"	"2023"	6905
"Total"	"Tennessee"	"47"	"December"	"12"			6905
"Total"	"Tennessee"	"47"					96224
	"Texas"	"48"	"January"	"1"	"2023"	"2023"	32538
	"Texas"	"48"	"January"	"1"	"2024"	"2024"	32252
"Total"	"Texas"	"48"	"January"	"1"			64790
	"Texas"	"48"	"February"	"2"	"2023"	"2023"	28953
	"Texas"	"48"	"February"	"2"	"2024"	"2024"	30010
"Total"	"Texas"	"48"	"February"	"2"			58963
	"Texas"	"48"	"March"	"3"	"2023"	"2023"	31401
"Total"	"Texas"	"48"	"March"	"3"			31401
	"Texas"	"48"	"April"	"4"	"2023"	"2023"	28877
"Total"	"Texas"	"48"	"April"	"4"			28877
	"Texas"	"48"	"May"	"5"	"2023"	"2023"	31653
"Total"	"Texas"	"48"	"May"	"5"			31653
	"Texas"	"48"	"June"	"6"	"2023"	"2023"	32206
"Total"	"Texas"	"48"	"June"	"6"			32206
	"Texas"	"48"	"July"	"7"	"2023"	"2023"	33162
"Total"	"Texas"	"48"	"July"	"7"			33162
	"Texas"	"48"	"August"	"8"	"2023"	"2023"	35428
"Total"	"Texas"	"48"	"August"	"8"			35428
	"Texas"	"48"	"September"	"9"	"2023"	"2023"	33654
"Total"	"Texas"	"48"	"September"	"9"			33654
	"Texas"	"48"	"October"	"10"	"2023"	"2023"	34069
"Total"	"Texas"	"48"	"October"	"10"			34069
	"Texas"	"48"	"November"	"11"	"2023"	"2023"	33204
"Total"	"Texas"	"48"	"November"	"11"			33204
	"Texas"	"48"	"December"	"12"	"2023"	"2023"	32729
"Total"	"Texas"	"48"	"December"	"12"			32729
"Total"	"Texas"	"48"					450136
	"Utah"	"49"	"January"	"1"	"2023"	"2023"	3502
	"Utah"	"49"	"January"	"1"	"2024"	"2024"	3699
"Total"	"Utah"	"49"	"January"	"1"			7201
	"Utah"	"49"	"February"	"2"	"2023"	"2023"	3472
	"Utah"	"49"	"February"	"2"	"2024"	"2024"	3614
"Total"	"Utah"	"49"	"February"	"2"			7086
	"Utah"	"49"	"March"	"3"	"2023"	"2023"	3961
"Total"	"Utah"	"49"	"March"	"3"			3961
	"Utah"	"49"	"April"	"4"	"2023"	"2023"	3613
"Total"	"Utah"	"49"	"April"	"4"			3613
	"Utah"	"49"	"May"	"5"	"2023"	"2023"	3901
"Total"	"Utah"	"49"	"May"	"5"			3901
	"Utah"	"49"	"June"	"6"	"2023"	"2023"	3915
"Total"	"Utah"	"49"	"June"	"6"			3915
	"Utah"	"49"	"July"	"7"	"2023"	"2023"	3956
"Total"	"Utah"	"49"	"July"	"7"			3956
	"Utah"	"49"	"August"	"8"	"2023"	"2023"	4123
"Total"	"Utah"	"49"	"August"	"8"			4123
	"Utah"	"49"	"September"	"9"	"2023"	"2023"	3778
"Total"	"Utah"	"49"	"September"	"9"			3778
	"Utah"	"49"	"October"	"10"	"2023"	"2023"	3788
"Total"	"Utah"	"49"	"October"	"10"			3788
	"Utah"	"49"	"November"	"11"	"2023"	"2023"	3551
"Total"	"Utah"	"49"	"November"	"11"			3551
	"Utah"	"49"	"December"	"12"	"2023"	"2023"	3458
"Total"	"Utah"	"49"	"December"	"12"			3458
"Total"	"Utah"	"49"					52331
	"Vermont"	"50"	"January"	"1"	"2023"	"2023"	391
	"Vermont"	"50"	"January"	"1"	"2024"	"2024"	383
"Total"	"Vermont"	"50"	"January"	"1"			774
	"Vermont"	"50"	"February"	"2"	"2023"	"2023"	358
	"Vermont"	"50"	"February"	"2"	"2024"	"2024"	383
"Total"	"Vermont"	"50"	"February"	"2"			741
	"Vermont"	"50"	"March"	"3"	"2023"	"2023"	412
"Total"	"Vermont"	"50"	"March"	"3"			412
	"Vermont"	"50"	"April"	"4"	"2023"	"2023"	446
"Total"	"Vermont"	"50"	"April"	"4"			446
	"Vermont"	"50"	"May"	"5"	"2023"	"2023"	457
"Total"	"Vermont"	"50"	"May"	"5"			457
	"Vermont"	"50"	"June"	"6"	"2023"	"2023"	438
"Total"	"Vermont"	"50"	"June"	"6"			438
	"Vermont"	"50"	"July"	"7"	"2023"	"2023"	424
"Total"	"Vermont"	"50"	"July"	"7"			424
	"Vermont"	"50"	"August"	"8"	"2023"	"2023"	478
"Total"	"Vermont"	"50"	"August"	"8"			478
	"Vermont"	"50"	"September"	"9"	"2023"	"2023"	424
"Total"	"Vermont"	"50"	"September"	"9"			424
	"Vermont"	"50"	"October"	"10"	"2023"	"2023"	391
"Total"	"Vermont"	"50"	"October"	"10"			391
	"Vermont"	"50"	"November"	"11"	"2023"	"2023"	428
"Total"	"Vermont"	"50"	"November"	"11"			428
	"Vermont"	"50"	"December"	"12"	"2023"	"2023"	417
"Total"	"Vermont"	"50"	"December"	"12"			417
"Total"	"Vermont"	"50"					5830
	"Virginia"	"51"	"January"	"1"	"2023"	"2023"	7696
	"Virginia"	"51"	"January"	"1"	"2024"	"2024"	7717
"Total"	"Virginia"	"51"	"January"	"1"			15413
	"Virginia"	"51"	"February"	"2"	"2023"	"2023"	7021
	"Virginia"	"51"	"February"	"2"	"2024"	"2024"	7254
"Total"	"Virginia"	"51"	"February"	"2"			14275
	"Virginia"	"51"	"March"	"3"	"2023"	"2023"	7658
"Total"	"Virginia"	"51"	"March"	"3"			7658
	"Virginia"	"51"	"April"	"4"	"2023"	"2023"	7045
"Total"	"Virginia"	"51"	"April"	"4"			7045
	"Virginia"	"51"	"May"	"5"	"2023"	"2023"	7753
"Total"	"Virginia"	"51"	"May"	"5"			7753
	"Virginia"	"51"	"June"	"6"	"2023"	"2023"	7886
"Total"	"Virginia"	"51"	"June"	"6"			7886
	"Virginia"	"51"	"July"	"7"	"2023"	"2023"	7944
"Total"	"Virginia"	"51"	"July"	"7"			7944
	"Virginia"	"51"	"August"	"8"	"2023"	"2023"	8403
"Total"	"Virginia"	"51"	"August"	"8"			8403
	"Virginia"	"51"	"September"	"9"	"2023"	"2023"	7828
"Total"	"Virginia"	"51"	"September"	"9"			7828
	"Virginia"	"51"	"October"	"10"	"2023"	"2023"	8067
"Total"	"Virginia"	"51"	"October"	"10"			8067
	"Virginia"	"51"	"November"	"11"	"2023"	"2023"	7509
"Total"	"Virginia"	"51"	"November"	"11"			7509
	"Virginia"	"51"	"December"	"12"	"2023"	"2023"	7822
"Total"	"Virginia"	"51"	"December"	"12"			7822
"Total"	"Virginia"	"51"					107603
	"Washington"	"53"	"January"	"1"	"2023"	"2023"	6602
	"Washington"	"53"	"January"	"1"	"2024"	"2024"	6609
"Total"	"Washington"	"53"	"January"	"1"			13211
	"Washington"	"53"	"February"	"2"	"2023"	"2023"	5979
	"Washington"	"53"	"February"	"2"	"2024"	"2024"	6323
"Total"	"Washington"	"53"	"February"	"2"			12302
	"Washington"	"53"	"March"	"3"	"2023"	"2023"	6695
"Total"	"Washington"	"53"	"March"	"3"			6695
	"Washington"	"53"	"April"	"4"	"2023"	"2023"	6521
"Total"	"Washington"	"53"	"April"	"4"			6521
	"Washington"	"53"	"May"	"5"	"2023"	"2023"	6996
"Total"	"Washington"	"53"	"May"	"5"			6996
	"Washington"	"53"	"June"	"6"	"2023"	"2023"	6913
"Total"	"Washington"	"53"	"June"	"6"			6913
	"Washington"	"53"	"July"	"7"	"2023"	"2023"	7034
"Total"	"Washington"	"53"	"July"	"7"			7034
	"Washington"	"53"	"August"	"8"	"2023"	"2023"	7226
"Total"	"Washington"	"53"	"August"	"8"			7226
	"Washington"	"53"	"September"	"9"	"2023"	"2023"	6799
"Total"	"Washington"	"53"	"September"	"9"			6799
	"Washington"	"53"	"October"	"10"	"2023"	"2023"	6788
"Total"	"Washington"	"53"	"October"	"10"			6788
	"Washington"	"53"	"November"	"11"	"2023"	"2023"	6660
"Total"	"Washington"	"53"	"November"	"11"			6660
	"Washington"	"53"	"December"	"12"	"2023"	"2023"	6712
"Total"	"Washington"	"53"	"December"	"12"			6712
"Total"	"Washington"	"53"					93857
	"West Virginia"	"54"	"January"	"1"	"2023"	"2023"	1404
	"West Virginia"	"54"	"January"	"1"	"2024"	"2024"	1366
"Total"	"West Virginia"	"54"	"January"	"1"			2770
	"West Virginia"	"54"	"February"	"2"	"2023"	"2023"	1304
	"West Virginia"	"54"	"February"	"2"	"2024"	"2024"	1326
"Total"	"West Virginia"	"54"	"February"	"2"			2630
	"West Virginia"	"54"	"March"	"3"	"2023"	"2023"	1387
"Total"	"West Virginia"	"54"	"March"	"3"			1387
	"West Virginia"	"54"	"April"	"4"	"2023"	"2023"	1198
"Total"	"West Virginia"	"54"	"April"	"4"			1198
	"West Virginia"	"54"	"May"	"5"	"2023"	"2023"	1407
"Total"	"West Virginia"	"54"	"May"	"5"			1407
	"West Virginia"	"54"	"June"	"6"	"2023"	"2023"	1468
"Total"	"West Virginia"	"54"	"June"	"6"			1468
	"West Virginia"	"54"	"July"	"7"	"2023"	"2023"	1456
"Total"	"West Virginia"	"54"	"July"	"7"			1456
	"West Virginia"	"54"	"August"	"8"	"2023"	"2023"	1442
"Total"	"West Virginia"	"54"	"August"	"8"			1442
	"West Virginia"	"54"	"September"	"9"	"2023"	"2023"	1419
"Total"	"West Virginia"	"54"	"September"	"9"			1419
	"West Virginia"	"54"	"October"	"10"	"2023"	"2023"	1380
"Total"	"West Virginia"	"54"	"October"	"10"			1380
	"West Virginia"	"54"	"November"	"11"	"2023"	"2023"	1371
"Total"	"West Virginia"	"54"	"November"	"11"			1371
	"West Virginia"	"54"	"December"	"12"	"2023"	"2023"	1357
"Total"	"West Virginia"	"54"	"December"	"12"			1357
"Total"	"West Virginia"	"54"					19285
	"Wisconsin"	"55"	"January"	"1"	"2023"	"2023"	4784
	"Wisconsin"	"55"	"January"	"1"	"2024"	"2024"	4650
"Total"	"Wisconsin"	"55"	"January"	"1"			9434
	"Wisconsin"	"55"	"February"	"2"	"2023"	"2023"	4430
	"Wisconsin"	"55"	"February"	"2"	"2024"	"2024"	4690
"Total"	"Wisconsin"	"55"	"February"	"2"			9120
	"Wisconsin"	"55"	"March"	"3"	"2023"	"2023"	5148
"Total"	"Wisconsin"	"55"	"March"	"3"			5148
	"Wisconsin"	"55"	"April"	"4"	"2023"	"2023"	4846
"Total"	"Wisconsin"	"55"	"April"	"4"			4846
	"Wisconsin"	"55"	"May"	"5"	"2023"	"2023"	5204
"Total"	"Wisconsin"	"55"	"May"	"5"			5204
	"Wisconsin"	"55"	"June"	"6"	"2023"	"2023"	5207
"Total"	"Wisconsin"	"55"	"June"	"6"			5207
	"Wisconsin"	"55"	"July"	"7"	"2023"	"2023"	5338
"Total"	"Wisconsin"	"55"	"July"	"7"			5338
	"Wisconsin"	"55"	"August"	"8"	"2023"	"2023"	5319
"Total"	"Wisconsin"	"55"	"August"	"8"			5319
	"Wisconsin"	"55"	"September"	"9"	"2023"	"2023"	5083
"Total"	"Wisconsin"	"55"	"September"	"9"			5083
	"Wisconsin"	"55"	"October"	"10"	"2023"	"2023"	5061
"Total"	"Wisconsin"	"55"	"October"	"10"			5061
	"Wisconsin"	"55"	"November"	"11"	"2023"	"2023"	4631
"Total"	"Wisconsin"	"55"	"November"	"11"			4631
	"Wisconsin"	"55"	"December"	"12"	"2023"	"2023"	4696
"Total"	"Wisconsin"	"55"	"December"	"12"			4696
"Total"	"Wisconsin"	"55"					69087
	"Wyoming"	"56"	"January"	"1"	"2023"	"2023"	459
	"Wyoming"	"56"	"January"	"1"	"2024"	"2024"	482
"Total"	"Wyoming"	"56"	"January"	"1"			941
	"Wyoming"	"56"	"February"	"2"	"2023"	"2023"	449
	"Wyoming"	"56"	"February"	"2"	"2024"	"2024"	481
"Total"	"Wyoming"	"56"	"February"	"2"			930
	"Wyoming"	"56"	"March"	"3"	"2023"	"2023"	536
"Total"	"Wyoming"	"56"	"March"	"3"			536
	"Wyoming"	"56"	"April"	"4"	"2023"	"2023"	498
"Total"	"Wyoming"	"56"	"April"	"4"			498
	"Wyoming"	"56"	"May"	"5"	"2023"	"2023"	510
"Total"	"Wyoming"	"56"	"May"	"5"			510
	"Wyoming"	"56"	"June"	"6"	"2023"	"2023"	544
"Total"	"Wyoming"	"56"	"June"	"6"			544
	"Wyoming"	"56"	"July"	"7"	"2023"	"2023"	514
"Total"	"Wyoming"	"56"	"July"	"7"			514
	"Wyoming"	"56"	"August"	"8"	"2023"	"2023"	552
"Total"	"Wyoming"	"56"	"August"	"8"			552
	"Wyoming"	"56"	"September"	"9"	"2023"	"2023"	485
"Total"	"Wyoming"	"56"	"September"	"9"			485
	"Wyoming"	"56"	"October"	"10"	"2023"	"2023"	502
"Total"	"Wyoming"	"56"	"October"	"10"			502
	"Wyoming"	"56"	"November"	"11"	"2023"	"2023"	469
"Total"	"Wyoming"	"56"	"November"	"11"			469
	"Wyoming"	"56"	"December"	"12"	"2023"	"2023"	472
"Total"	"Wyoming"	"56"	"December"	"12"			472
"Total"	"Wyoming"	"56"					6953
"Total"							4170570
"---"
"Dataset: Provisional Natality, 2023 through Last Month"
"Query Parameters:"
"State of Residence: Alabama (01); Alaska (02); Arizona (04); Arkansas (05); California (06); Colorado (08); Connecticut (09);"
"Delaware (10); District of Columbia (11); Florida (12); Georgia (13); Hawaii (15); Idaho (16); Illinois (17); Indiana (18); Iowa"
"(19); Kansas (20); Kentucky (21); Louisiana (22); Maine (23); Maryland (24); Massachusetts (25); Michigan (26); Minnesota (27);"
"Mississippi (28); Missouri (29); Montana (30); Nebraska (31); Nevada (32); New Hampshire (33); New Jersey (34); New Mexico (35);"
"New York (36); North Carolina (37); North Dakota (38); Ohio (39); Oklahoma (40); Oregon (41); Pennsylvania (42); Rhode Island"
"(44); South Carolina (45); South Dakota (46); Tennessee (47); Texas (48); Utah (49); Vermont (50); Virginia (51); Washington"
"(53); West Virginia (54); Wisconsin (55); Wyoming (56)"
"Group By: State of Residence; Month; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality-provisional.html for more information."
"---"
"Query Date: May 4, 2024 8:42:48 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Natality on CDC WONDER Online Database. Data are from the Natality Records 2023 through Last Month, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/natality-expanded-provisional.html on May 4, 2024 8:42:48 AM"
"---"
Messages:
"1. Rows with zero Births are hidden. Use Quick Options above to show zero rows."
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. Data are provisional and subject to change."
"3. Births occurring through February 29, 2024 as of March 28, 2024."
